debut;fin;section;section renforcée;distance;prix de renfort;nouveau r ;ancien r;ancien imax;nouveau imax
8;9;148;240;30;3144000;0.300029103;0.486533681141036;0.419156295431668;0.5337658159695
9;10;148;240;30;3144000;0.301767482;0.48935267328094;0.419156295431668;0.533765815513263
0;3;148;240;10;1048000;0.038645373;0.0626681726907631;0.419156295431668;0.533765816740248
3;7;148;240;1;104800;0.016355503;0.02652243752467;0.419156295431668;0.533765817928049
0;2;240;480;8;876800;0.037486935;0.0749738690751891;0.621228889648037;0.878550315659726
2;4;54;148;5;514800;0.093985707;0.257590457080734;0.225166604983954;0.372767428859704
0;6;150;240;20;2096000;0.230627368;0.369003788703729;0.464189616428459;0.587158581568945
6;5;54;148;4;411840;0.068318664;0.187243746420511;0.225166604983954;0.372767428878295
1;11;95;148;5;514800;0.061949665;0.0965110565947268;0.348719562590534;0.435256600033907
